longitude,latitude,date,aet,def,pet,ppt,q,soil,swe,tmax,tmin,tmean
-97.7291666666667,17.0208333333333,1997-12-01,49.3,42.5,91.8,35.800000000000004,1.8,62.900000000000006,0,23.840000000000003,5.210000000000008,14.525000000000006
-97.6875,17.0208333333333,1997-12-01,45.3,44.900000000000006,90.2,35.1,1.8,46.8,0,21.28,3.870000000000005,12.575000000000003
-97.6458333333333,17.0208333333333,1997-12-01,38.7,51.8,90.5,30.9,1.5,40.6,0,22.870000000000005,4.3799999999999955,13.625
-97.7291666666667,17.0625,1997-12-01,48.2,40.7,88.9,36.4,1.8,58.3,0,19.930000000000007,3.0400000000000063,11.485000000000007
-97.6875,17.0625,1997-12-01,42.1,45.8,87.9,32,1.6,44.6,0,21.430000000000007,3.359999999999999,12.395000000000003
-97.6458333333333,17.0625,1997-12-01,38.6,50.2,88.80000000000001,31.3,1.6,39.400000000000006,0,21.510000000000005,3.5700000000000074,12.540000000000006
-97.7291666666667,17.1041666666667,1997-12-01,36.5,53.8,90.3,25.9,1.3,45,0,20.60000000000001,3.3500000000000085,11.975000000000009
-97.6875,17.1041666666667,1997-12-01,43.5,45.1,88.60000000000001,32.5,1.6,45.900000000000006,0,19.99000000000001,2.859999999999999,11.425000000000004
-97.6458333333333,17.1041666666667,1997-12-01,45.900000000000006,43.3,89.2,35.2,1.8,46.1,0,19.210000000000008,2.710000000000008,10.960000000000008
-97.7291666666667,17.0208333333333,1998-01-01,18.8,87.4,106.2,5.300000000000001,0.30000000000000004,49.2,0,24.89,4.490000000000009,14.690000000000005
-97.6875,17.0208333333333,1998-01-01,12.3,91.5,103.8,4.4,0.2,38.8,0,22.210000000000008,3.1299999999999955,12.670000000000002
-97.6458333333333,17.0208333333333,1998-01-01,11.3,92.3,103.6,5.2,0.30000000000000004,34.300000000000004,0,23.72,3.5600000000000023,13.64
-97.7291666666667,17.0625,1998-01-01,16.900000000000002,85.30000000000001,102.2,5,0.30000000000000004,46.1,0,20.960000000000008,2.4399999999999977,11.700000000000003
-97.6875,17.0625,1998-01-01,11.9,88.7,100.6,4.7,0.2,37.1,0,22.260000000000005,2.6500000000000057,12.455000000000005
-97.6458333333333,17.0625,1998-01-01,10.1,91.5,101.6,4.3,0.2,33.300000000000004,0,22.370000000000005,2.7900000000000063,12.580000000000005
-97.7291666666667,17.1041666666667,1998-01-01,11.5,91.9,103.4,4.1000000000000005,0.2,37.4,0,21.56,2.8100000000000023,12.185
-97.6875,17.1041666666667,1998-01-01,12.1,89.4,101.5,4.3,0.2,37.8,0,20.930000000000007,2.299999999999997,11.615000000000002
-97.6458333333333,17.1041666666667,1998-01-01,13.2,88.5,101.7,5.1000000000000005,0.30000000000000004,37.8,0,20.15000000000001,2.1500000000000057,11.150000000000007
-97.7291666666667,17.0208333333333,1998-02-01,9.2,110.7,119.9,0.6000000000000001,0,40.6,0,26.53,4.5,15.515
