longitude,latitude,date,val,var_name
-97.6458333333333,17.0625,2014-03-01,20.200000000000003,aet
-97.7291666666667,17.0208333333333,2014-03-01,24.6,aet
-97.6875,17.0208333333333,2014-03-01,21.900000000000002,aet
-97.6458333333333,17.0208333333333,2014-03-01,20.200000000000003,aet
-97.7291666666667,17.1041666666667,2014-04-01,23.200000000000003,aet
-97.6875,17.1041666666667,2014-04-01,23.400000000000002,aet
-97.6458333333333,17.1041666666667,2014-04-01,23.1,aet
-97.7291666666667,17.0625,2014-04-01,24.700000000000003,aet
-97.6875,17.0625,2014-04-01,22.900000000000002,aet
-97.6458333333333,17.0625,2014-04-01,21.5,aet
-97.7291666666667,17.0208333333333,2014-04-01,24.200000000000003,aet
-97.6875,17.0208333333333,2014-04-01,22.6,aet
-97.6458333333333,17.0208333333333,2014-04-01,21.200000000000003,aet
-97.7291666666667,17.1041666666667,2014-05-01,118.10000000000001,aet
-97.6875,17.1041666666667,2014-05-01,114.9,aet
-97.6458333333333,17.1041666666667,2014-05-01,113.5,aet
-97.7291666666667,17.0625,2014-05-01,113.9,aet
-97.6875,17.0625,2014-05-01,114.7,aet
-97.6458333333333,17.0625,2014-05-01,115.60000000000001,aet
-97.7291666666667,17.0208333333333,2014-05-01,117.9,aet
-97.6875,17.0208333333333,2014-05-01,115.2,aet
-97.6458333333333,17.0208333333333,2014-05-01,118.2,aet
-97.7291666666667,17.1041666666667,2014-06-01,102.7,aet
-97.6875,17.1041666666667,2014-06-01,100.60000000000001,aet
-97.6458333333333,17.1041666666667,2014-06-01,99.60000000000001,aet
-97.7291666666667,17.0625,2014-06-01,100,aet
-97.6875,17.0625,2014-06-01,101.7,aet
-97.6458333333333,17.0625,2014-06-01,102.5,aet
-97.7291666666667,17.0208333333333,2014-06-01,104.9,aet
-97.6875,17.0208333333333,2014-06-01,102,aet
-97.6458333333333,17.0208333333333,2014-06-01,105.2,aet
-97.7291666666667,17.1041666666667,2014-07-01,108.9,aet
-97.6875,17.1041666666667,2014-07-01,107,aet
-97.6458333333333,17.1041666666667,2014-07-01,106.30000000000001,aet
-97.7291666666667,17.0625,2014-07-01,108.10000000000001,aet
-97.6875,17.0625,2014-07-01,108.9,aet
-97.6458333333333,17.0625,2014-07-01,108.7,aet
-97.7291666666667,17.0208333333333,2014-07-01,113.60000000000001,aet
-97.6875,17.0208333333333,2014-07-01,109.10000000000001,aet
-97.6458333333333,17.0208333333333,2014-07-01,111.30000000000001,aet
-97.7291666666667,17.1041666666667,2014-08-01,116.9,aet
-97.6875,17.1041666666667,2014-08-01,115.10000000000001,aet
-97.6458333333333,17.1041666666667,2014-08-01,114.10000000000001,aet
-97.7291666666667,17.0625,2014-08-01,114.9,aet
-97.6875,17.0625,2014-08-01,117.7,aet
-97.6458333333333,17.0625,2014-08-01,118.30000000000001,aet
-97.7291666666667,17.0208333333333,2014-08-01,122,aet
-97.6875,17.0208333333333,2014-08-01,117.80000000000001,aet
-97.6458333333333,17.0208333333333,2014-08-01,121.10000000000001,aet
-97.7291666666667,17.1041666666667,2014-09-01,87.9,aet
-97.6875,17.1041666666667,2014-09-01,86.10000000000001,aet
-97.6458333333333,17.1041666666667,2014-09-01,85.4,aet
-97.7291666666667,17.0625,2014-09-01,86.5,aet
-97.6875,17.0625,2014-09-01,88,aet
-97.6458333333333,17.0625,2014-09-01,88.4,aet
-97.7291666666667,17.0208333333333,2014-09-01,91.4,aet
-97.6875,17.0208333333333,2014-09-01,88.7,aet
-97.6458333333333,17.0208333333333,2014-09-01,91.2,aet
-97.7291666666667,17.1041666666667,2014-10-01,92.5,aet
-97.6875,17.1041666666667,2014-10-01,90.7,aet
-97.6458333333333,17.1041666666667,2014-10-01,90.4,aet
-97.7291666666667,17.0625,2014-10-01,90.9,aet
-97.6875,17.0625,2014-10-01,91.80000000000001,aet
-97.6458333333333,17.0625,2014-10-01,92.4,aet
-97.7291666666667,17.0208333333333,2014-10-01,95.10000000000001,aet
-97.6875,17.0208333333333,2014-10-01,93,aet
-97.6458333333333,17.0208333333333,2014-10-01,94.80000000000001,aet
-97.7291666666667,17.1041666666667,2014-11-01,61.7,aet
-97.6875,17.1041666666667,2014-11-01,60.900000000000006,aet
-97.6458333333333,17.1041666666667,2014-11-01,61.1,aet
-97.7291666666667,17.0625,2014-11-01,61.5,aet
-97.6875,17.0625,2014-11-01,61.1,aet
-97.6458333333333,17.0625,2014-11-01,61.2,aet
-97.7291666666667,17.0208333333333,2014-11-01,64.60000000000001,aet
-97.6875,17.0208333333333,2014-11-01,62.2,aet
-97.6458333333333,17.0208333333333,2014-11-01,63,aet
-97.7291666666667,17.1041666666667,2014-12-01,50.1,aet
-97.6875,17.1041666666667,2014-12-01,49.6,aet
-97.6458333333333,17.1041666666667,2014-12-01,49.900000000000006,aet
-97.7291666666667,17.0625,2014-12-01,50.6,aet
-97.6875,17.0625,2014-12-01,49.6,aet
-97.6458333333333,17.0625,2014-12-01,49.7,aet
-97.7291666666667,17.0208333333333,2014-12-01,52.6,aet
-97.6875,17.0208333333333,2014-12-01,51.2,aet
-97.6458333333333,17.0208333333333,2014-12-01,51,aet
-97.7291666666667,17.1041666666667,2015-01-01,47.900000000000006,aet
-97.6875,17.1041666666667,2015-01-01,47.2,aet
-97.6458333333333,17.1041666666667,2015-01-01,47.1,aet
-97.7291666666667,17.0625,2015-01-01,48.800000000000004,aet
-97.6875,17.0625,2015-01-01,47.400000000000006,aet
-97.6458333333333,17.0625,2015-01-01,46.900000000000006,aet
-97.7291666666667,17.0208333333333,2015-01-01,50.800000000000004,aet
-97.6875,17.0208333333333,2015-01-01,48.800000000000004,aet
-97.6458333333333,17.0208333333333,2015-01-01,48.2,aet
-97.7291666666667,17.1041666666667,2015-02-01,34.4,aet
-97.6875,17.1041666666667,2015-02-01,34.2,aet
-97.6458333333333,17.1041666666667,2015-02-01,32.300000000000004,aet
-97.7291666666667,17.0625,2015-02-01,38.2,aet
-97.6875,17.0625,2015-02-01,36.6,aet
-97.6458333333333,17.0625,2015-02-01,32.800000000000004,aet
-97.7291666666667,17.0208333333333,2015-02-01,38.2,aet
-97.6875,17.0208333333333,2015-02-01,36.4,aet
-97.6458333333333,17.0208333333333,2015-02-01,32.9,aet
-97.7291666666667,17.1041666666667,2015-03-01,47.400000000000006,aet
-97.6875,17.1041666666667,2015-03-01,50.6,aet
-97.6458333333333,17.1041666666667,2015-03-01,53.300000000000004,aet
-97.7291666666667,17.0625,2015-03-01,55.900000000000006,aet
-97.6875,17.0625,2015-03-01,54.800000000000004,aet
-97.6458333333333,17.0625,2015-03-01,50.6,aet
-97.7291666666667,17.0208333333333,2015-03-01,62.1,aet
-97.6875,17.0208333333333,2015-03-01,52,aet
-97.6458333333333,17.0208333333333,2015-03-01,51,aet
-97.7291666666667,17.1041666666667,2015-04-01,25.1,aet
-97.6875,17.1041666666667,2015-04-01,25.5,aet
-97.6458333333333,17.1041666666667,2015-04-01,25.700000000000003,aet
-97.7291666666667,17.0625,2015-04-01,26.6,aet
-97.6875,17.0625,2015-04-01,25,aet
-97.6458333333333,17.0625,2015-04-01,24,aet
-97.7291666666667,17.0208333333333,2015-04-01,25.900000000000002,aet
-97.6875,17.0208333333333,2015-04-01,24.700000000000003,aet
-97.6458333333333,17.0208333333333,2015-04-01,23.700000000000003,aet
-97.7291666666667,17.1041666666667,2015-05-01,122.5,aet
-97.6875,17.1041666666667,2015-05-01,119.60000000000001,aet
-97.6458333333333,17.1041666666667,2015-05-01,118.2,aet
-97.7291666666667,17.0625,2015-05-01,118.7,aet
-97.6875,17.0625,2015-05-01,119.60000000000001,aet
-97.6458333333333,17.0625,2015-05-01,120.4,aet
-97.7291666666667,17.0208333333333,2015-05-01,122.80000000000001,aet
-97.6875,17.0208333333333,2015-05-01,120.10000000000001,aet
-97.6458333333333,17.0208333333333,2015-05-01,120.80000000000001,aet
-97.7291666666667,17.1041666666667,2015-06-01,112.2,aet
-97.6875,17.1041666666667,2015-06-01,110,aet
-97.6458333333333,17.1041666666667,2015-06-01,108.80000000000001,aet
-97.7291666666667,17.0625,2015-06-01,109.5,aet
-97.6875,17.0625,2015-06-01,111.80000000000001,aet
-97.6458333333333,17.0625,2015-06-01,112.7,aet
-97.7291666666667,17.0208333333333,2015-06-01,115.80000000000001,aet
-97.6875,17.0208333333333,2015-06-01,112.2,aet
-97.6458333333333,17.0208333333333,2015-06-01,116.10000000000001,aet
-97.7291666666667,17.1041666666667,2015-07-01,112.4,aet
-97.6875,17.1041666666667,2015-07-01,110.4,aet
-97.6458333333333,17.1041666666667,2015-07-01,110,aet
-97.7291666666667,17.0625,2015-07-01,112.80000000000001,aet
-97.6875,17.0625,2015-07-01,112.4,aet
-97.6458333333333,17.0625,2015-07-01,111.4,aet
-97.7291666666667,17.0208333333333,2015-07-01,118.30000000000001,aet
-97.6875,17.0208333333333,2015-07-01,113.30000000000001,aet
-97.6458333333333,17.0208333333333,2015-07-01,114.60000000000001,aet
-97.7291666666667,17.1041666666667,2015-08-01,87,aet
-97.6875,17.1041666666667,2015-08-01,86.60000000000001,aet
-97.6458333333333,17.1041666666667,2015-08-01,87.60000000000001,aet
-97.7291666666667,17.0625,2015-08-01,88.60000000000001,aet
-97.6875,17.0625,2015-08-01,87.5,aet
-97.6458333333333,17.0625,2015-08-01,86.7,aet
-97.7291666666667,17.0208333333333,2015-08-01,94.30000000000001,aet
-97.6875,17.0208333333333,2015-08-01,88.80000000000001,aet
-97.6458333333333,17.0208333333333,2015-08-01,89.30000000000001,aet
-97.7291666666667,17.1041666666667,2015-09-01,99.7,aet
-97.6875,17.1041666666667,2015-09-01,98.30000000000001,aet
-97.6458333333333,17.1041666666667,2015-09-01,97.7,aet
-97.7291666666667,17.0625,2015-09-01,98.4,aet
-97.6875,17.0625,2015-09-01,100.5,aet
-97.6458333333333,17.0625,2015-09-01,101.10000000000001,aet
-97.7291666666667,17.0208333333333,2015-09-01,103.80000000000001,aet
-97.6875,17.0208333333333,2015-09-01,101,aet
-97.6458333333333,17.0208333333333,2015-09-01,104,aet
-97.7291666666667,17.1041666666667,2015-10-01,90.10000000000001,aet
-97.6875,17.1041666666667,2015-10-01,90.60000000000001,aet
-97.6458333333333,17.1041666666667,2015-10-01,89.10000000000001,aet
-97.7291666666667,17.0625,2015-10-01,94.2,aet
-97.6875,17.0625,2015-10-01,90.7,aet
-97.6458333333333,17.0625,2015-10-01,89.10000000000001,aet
-97.7291666666667,17.0208333333333,2015-10-01,98.80000000000001,aet
-97.6875,17.0208333333333,2015-10-01,92.9,aet
-97.6458333333333,17.0208333333333,2015-10-01,92,aet
-97.7291666666667,17.1041666666667,2015-11-01,59,aet
-97.6875,17.1041666666667,2015-11-01,59.5,aet
-97.6458333333333,17.1041666666667,2015-11-01,61,aet
-97.7291666666667,17.0625,2015-11-01,63,aet
-97.6875,17.0625,2015-11-01,58.2,aet
-97.6458333333333,17.0625,2015-11-01,56,aet
-97.7291666666667,17.0208333333333,2015-11-01,67.5,aet
-97.6875,17.0208333333333,2015-11-01,59.5,aet
-97.6458333333333,17.0208333333333,2015-11-01,58,aet
-97.7291666666667,17.1041666666667,2015-12-01,44.800000000000004,aet
-97.6875,17.1041666666667,2015-12-01,45.7,aet
-97.6458333333333,17.1041666666667,2015-12-01,47.1,aet
-97.7291666666667,17.0625,2015-12-01,49.7,aet
-97.6875,17.0625,2015-12-01,43.7,aet
