longitude,latitude,date,var_name,val
-97.7291666666667,17.0208333333333,1958-01-01,aet,72.10000000000001
-97.7291666666667,17.0208333333333,1958-01-01,def,27.700000000000003
-97.7291666666667,17.0208333333333,1958-01-01,pet,99.8
-97.7291666666667,17.0208333333333,1958-01-01,ppt,40.6
-97.7291666666667,17.0208333333333,1958-01-01,q,2
-97.7291666666667,17.0208333333333,1958-01-01,soil,168.9
-97.7291666666667,17.0208333333333,1958-01-01,swe,0
-97.7291666666667,17.0208333333333,1958-01-01,tmax,21.49000000000001
-97.7291666666667,17.0208333333333,1958-01-01,tmin,4.090000000000003
-97.7291666666667,17.0208333333333,1958-01-01,tmean,12.790000000000006
-97.6875,17.0208333333333,1958-01-01,aet,65.8
-97.6875,17.0208333333333,1958-01-01,def,30.9
-97.6875,17.0208333333333,1958-01-01,pet,96.7
-97.6875,17.0208333333333,1958-01-01,ppt,32
-97.6875,17.0208333333333,1958-01-01,q,1.6
-97.6875,17.0208333333333,1958-01-01,soil,154.5
-97.6875,17.0208333333333,1958-01-01,swe,0
-97.6875,17.0208333333333,1958-01-01,tmax,18.83
-97.6875,17.0208333333333,1958-01-01,tmin,2.719999999999999
-97.6875,17.0208333333333,1958-01-01,tmean,10.775
-97.6458333333333,17.0208333333333,1958-01-01,aet,66.5
-97.6458333333333,17.0208333333333,1958-01-01,def,30.6
-97.6458333333333,17.0208333333333,1958-01-01,pet,97.1
-97.6458333333333,17.0208333333333,1958-01-01,ppt,35.4
-97.6458333333333,17.0208333333333,1958-01-01,q,1.8
-97.6458333333333,17.0208333333333,1958-01-01,soil,143.4
-97.6458333333333,17.0208333333333,1958-01-01,swe,0
-97.6458333333333,17.0208333333333,1958-01-01,tmax,20.36
-97.6458333333333,17.0208333333333,1958-01-01,tmin,3.1500000000000057
-97.6458333333333,17.0208333333333,1958-01-01,tmean,11.755000000000004
-97.7291666666667,17.0625,1958-01-01,aet,67.5
-97.7291666666667,17.0625,1958-01-01,def,27.3
-97.7291666666667,17.0625,1958-01-01,pet,94.8
-97.7291666666667,17.0625,1958-01-01,ppt,35.5
-97.7291666666667,17.0625,1958-01-01,q,1.8
-97.7291666666667,17.0625,1958-01-01,soil,167
-97.7291666666667,17.0625,1958-01-01,swe,0
-97.7291666666667,17.0625,1958-01-01,tmax,17.519999999999996
-97.7291666666667,17.0625,1958-01-01,tmin,2.030000000000001
-97.7291666666667,17.0625,1958-01-01,tmean,9.775
-97.6875,17.0625,1958-01-01,aet,64.10000000000001
-97.6875,17.0625,1958-01-01,def,29.6
-97.6875,17.0625,1958-01-01,pet,93.7
-97.6875,17.0625,1958-01-01,ppt,31.1
-97.6875,17.0625,1958-01-01,q,1.6
-97.6875,17.0625,1958-01-01,soil,153.60000000000002
-97.6875,17.0625,1958-01-01,swe,0
-97.6875,17.0625,1958-01-01,tmax,18.85000000000001
-97.6875,17.0625,1958-01-01,tmin,2.25
-97.6875,17.0625,1958-01-01,tmean,10.550000000000004
-97.6458333333333,17.0625,1958-01-01,aet,61.7
-97.6458333333333,17.0625,1958-01-01,def,33.2
-97.6458333333333,17.0625,1958-01-01,pet,94.9
-97.6458333333333,17.0625,1958-01-01,ppt,26.700000000000003
-97.6458333333333,17.0625,1958-01-01,q,1.3
-97.6458333333333,17.0625,1958-01-01,soil,138.3
-97.6458333333333,17.0625,1958-01-01,swe,0
-97.6458333333333,17.0625,1958-01-01,tmax,18.980000000000004
-97.6458333333333,17.0625,1958-01-01,tmin,2.3799999999999955
-97.6458333333333,17.0625,1958-01-01,tmean,10.68
-97.7291666666667,17.1041666666667,1958-01-01,aet,62.8
-97.7291666666667,17.1041666666667,1958-01-01,def,33.9
-97.7291666666667,17.1041666666667,1958-01-01,pet,96.7
-97.7291666666667,17.1041666666667,1958-01-01,ppt,26.8
-97.7291666666667,17.1041666666667,1958-01-01,q,1.3
-97.7291666666667,17.1041666666667,1958-01-01,soil,143.3
-97.7291666666667,17.1041666666667,1958-01-01,swe,0
-97.7291666666667,17.1041666666667,1958-01-01,tmax,18.090000000000003
-97.7291666666667,17.1041666666667,1958-01-01,tmin,2.4099999999999966
-97.7291666666667,17.1041666666667,1958-01-01,tmean,10.25
-97.6875,17.1041666666667,1958-01-01,aet,62.5
-97.6875,17.1041666666667,1958-01-01,def,32.1
-97.6875,17.1041666666667,1958-01-01,pet,94.6
-97.6875,17.1041666666667,1958-01-01,ppt,26.4
-97.6875,17.1041666666667,1958-01-01,q,1.3
-97.6875,17.1041666666667,1958-01-01,soil,146.4
-97.6875,17.1041666666667,1958-01-01,swe,0
-97.6875,17.1041666666667,1958-01-01,tmax,17.480000000000004
-97.6875,17.1041666666667,1958-01-01,tmin,1.8900000000000008
-97.6875,17.1041666666667,1958-01-01,tmean,9.685000000000002
-97.6458333333333,17.1041666666667,1958-01-01,aet,64.3
-97.6458333333333,17.1041666666667,1958-01-01,def,30.6
-97.6458333333333,17.1041666666667,1958-01-01,pet,94.9
-97.6458333333333,17.1041666666667,1958-01-01,ppt,29.700000000000003
-97.6458333333333,17.1041666666667,1958-01-01,q,1.5
-97.6458333333333,17.1041666666667,1958-01-01,soil,144.8
-97.6458333333333,17.1041666666667,1958-01-01,swe,0
-97.6458333333333,17.1041666666667,1958-01-01,tmax,16.730000000000004
-97.6458333333333,17.1041666666667,1958-01-01,tmin,1.730000000000004
-97.6458333333333,17.1041666666667,1958-01-01,tmean,9.230000000000004
-97.7291666666667,17.0208333333333,1958-02-01,aet,62.6
-97.7291666666667,17.0208333333333,1958-02-01,def,48.3
